acc_x,acc_y,acc_z
-0.011294,0.007511,9.823907
-0.011654,0.005745,9.823053
-0.012098,0.005796,9.821769
-0.011589,0.004873,9.823831
-0.011752,0.006608,9.823818
-0.012043,0.006960,9.823550
-0.012147,0.004777,9.823614
-0.013755,0.006255,9.823517
-0.011303,0.006146,9.824828
-0.010869,0.007686,9.828005
-0.014974,0.012881,9.841327
-0.020997,0.026864,9.872634
-0.025481,0.051188,9.896442
-0.033054,0.082587,9.934551
-0.032778,0.102780,9.954800
-0.031962,0.110799,9.950984
-0.029449,0.111549,9.982613
-0.039456,0.150234,10.093059
-0.058114,0.265420,10.335915
-0.141757,0.563519,10.903032
-0.259035,1.058928,11.598575
-0.372630,1.467358,11.684803
-0.279620,1.516110,11.084518
-0.056358,0.696870,9.648158
0.185653,-0.411059,8.641686
0.323390,-0.975607,8.821326
0.566497,-0.792949,9.177608
0.458121,-0.037396,8.870753
0.067322,-0.063319,9.599328
-0.971248,0.808648,11.188772
-1.167604,-0.531712,7.229170
-1.417193,-1.173226,6.994373
-0.762694,-2.076689,6.677531
-1.076814,-2.045244,6.913136
-0.443201,-2.442415,5.054528
-0.287743,-2.058449,11.197807
-0.988689,1.688540,17.232358
-2.516094,3.524266,9.481737
-2.019806,7.230485,28.463566
-0.292560,8.281012,8.849074
-3.769174,-12.096249,-31.361214
-3.176475,-6.009952,26.303591
4.452026,-12.727179,6.211112
6.163129,11.052343,32.003329
6.360583,16.037716,6.057152
6.318629,-12.025563,9.806014
-26.880720,6.686081,9.482377
-12.089820,-0.049831,14.358179
13.308841,-11.972935,-16.713140
12.459728,-5.628854,20.989086
11.256430,-8.300676,5.424697
-4.612355,5.294056,15.848666
-19.427915,8.207476,20.050045
-1.877973,9.603051,23.833251
10.381349,-3.164789,4.502008
-1.168037,3.163289,7.820115
-6.100653,2.845609,10.874401
-2.192827,-0.357406,14.622716
0.253953,3.602472,14.150432
13.440364,-5.651018,8.864211
-5.342255,8.292477,27.058047
-1.083180,-4.834437,-3.831661
1.016771,-8.425975,-9.938069
8.605786,-21.763877,-2.261923
-1.510129,-7.945635,12.121801
-8.033155,5.422410,0.458610
-18.028343,20.827234,41.394470
-10.547027,0.043703,-4.366565
